id,deeplink_href,thumbnail_img_src,title,has_motiv,has_glitzer,geschlecht,shop,colors_palette_id,is_primary,R,G,B,H,S,V,HEX,name_de,name_en,parent_name_de_2, R_palette, G_palette, B_palette, H_palette, S_palette, V_palette, weight_parent_color
1,https://www.otto.de/p/paw-patrol-t-shirt-paw-patrol-mit-glitzerdruck-625852004/#variationId=625865838,https://i.otto.de/i/otto/22044590?$001PICT36$,"PAW PATROL T-Shirt,Paw Patrol mit Glitzerdruck",1,0,f,otto,107,0,213,92,130,341,57,84,#db7093,blasses Violettrot,palevioletred,rosa,219,112,147,340,49,86,0.25
1,https://www.otto.de/p/paw-patrol-t-shirt-paw-patrol-mit-glitzerdruck-625852004/#variationId=625865838,https://i.otto.de/i/otto/22044590?$001PICT36$,"PAW PATROL T-Shirt,Paw Patrol mit Glitzerdruck",1,0,f,otto,131,0,174,150,125,31,28,68,#d2b48c,hautfarben,tan,braun,210,180,140,34,33,82,0.25
1,https://www.otto.de/p/paw-patrol-t-shirt-paw-patrol-mit-glitzerdruck-625852004/#variationId=625865838,https://i.otto.de/i/otto/22044590?$001PICT36$,"PAW PATROL T-Shirt,Paw Patrol mit Glitzerdruck",1,0,f,otto,61,1,227,224,233,260,4,91,#e6e6fa,Lavendel,lavender,lila,230,230,250,240,8,98,0.25
1,https://www.otto.de/p/paw-patrol-t-shirt-paw-patrol-mit-glitzerdruck-625852004/#variationId=625865838,https://i.otto.de/i/otto/22044590?$001PICT36$,"PAW PATROL T-Shirt,Paw Patrol mit Glitzerdruck",1,0,f,otto,41,1,97,100,109,225,11,43,#696969,Dunkelgrau,dimgrey,grau,105,105,105,0,0,41,0.25
2,https://www.otto.de/p/name-it-tweety-oberteil-mit-langen-aermeln-668151343/#variationId=668159077,https://i.otto.de/i/otto/23681903?$001PICT36$,name it Tweety- Oberteil mit langen Ärmeln,1,1,f,otto,47,0,229,228,227,30,1,90,#dcdcdc,Gainsboro,gainsboro,grau,220,220,220,0,0,86,0.25
2,https://www.otto.de/p/name-it-tweety-oberteil-mit-langen-aermeln-668151343/#variationId=668159077,https://i.otto.de/i/otto/23681903?$001PICT36$,name it Tweety- Oberteil mit langen Ärmeln,1,1,f,otto,107,0,220,116,156,337,47,86,#db7093,blasses Violettrot,palevioletred,rosa,219,112,147,340,49,86,0.25
2,https://www.otto.de/p/name-it-tweety-oberteil-mit-langen-aermeln-668151343/#variationId=668159077,https://i.otto.de/i/otto/23681903?$001PICT36$,name it Tweety- Oberteil mit langen Ärmeln,1,1,f,otto,8,1,40,37,38,340,8,16,#000000,Schwarz,black,schwarz,0,0,0,0,0,0,0.5
3,https://www.otto.de/p/arizona-langarmshirt-mit-grossem-fotodruck-635585066/#variationId=629824563,https://i.otto.de/i/otto/23870190?$001PICT36$,Arizona Langarmshirt mit grossem Fotodruck,1,0,f,otto,36,0,50,54,50,120,7,21,#2f4f4f,dunkles Schiefergrau,darkslategrey,grau,47,79,79,180,41,31,0.25
3,https://www.otto.de/p/arizona-langarmshirt-mit-grossem-fotodruck-635585066/#variationId=629824563,https://i.otto.de/i/otto/23870190?$001PICT36$,Arizona Langarmshirt mit grossem Fotodruck,1,0,f,otto,118,0,128,79,49,23,62,50,#8b4513,Sattelbraun,saddlebrown,braun,139,69,19,25,86,55,0.25
3,https://www.otto.de/p/arizona-langarmshirt-mit-grossem-fotodruck-635585066/#variationId=629824563,https://i.otto.de/i/otto/23870190?$001PICT36$,Arizona Langarmshirt mit grossem Fotodruck,1,0,f,otto,8,1,27,32,41,219,34,16,#000000,Schwarz,black,schwarz,0,0,0,0,0,0,0.5
